User_ID,Event_Type,Event_Date,Interaction_Duration,Language_Used,Location,Privacy_Consent,Event_Participation_Freq,Social_Interaction_Freq,Cultural_Engagement_Level,Preferred_Time_of_Activity,Seasonal_Activity_Pattern,Event_Recommendation_Score,Cultural_Content_Suggested,Anonymization_Flag,Data_Owner
U0000,Language Class,3/24/2024,2 hours,Local Dialect,Zone A,Accepted,7,7,High,Afternoon,No,0.56,Folklore Videos,TRUE,Platform
U0001,Art Fair,1/16/2024,2 hours,English,Zone D,Accepted,4,5,Medium,Morning,No,0.54,Language Learning App,TRUE,User
U0002,Exhibition,11/29/2024,2 hours,Regional Language,Zone D,Pending,9,5,Medium,Morning,No,0.31,Folklore Videos,TRUE,Platform
U0003,Art Fair,2/28/2024,2 hours,Local Dialect,Zone B,Accepted,15,5,Medium,Afternoon,Yes,0.53,Traditional Music Playlist,FALSE,Platform
U0004,Art Fair,6/25/2024,1 hour,Local Dialect,Zone A,Accepted,7,9,Medium,Afternoon,No,0.75,Folklore Videos,TRUE,Platform
U0005,Workshop,3/3/2024,1 hour,Local Dialect,Zone D,Pending,11,4,Medium,Afternoon,Yes,0.38,Language Learning App,FALSE,User
U0006,Exhibition,3/21/2025,30 minutes,Local Dialect,Zone D,Pending,19,6,Medium,Evening,No,0.67,Traditional Music Playlist,FALSE,Platform
U0007,Exhibition,2/18/2024,2 hours,Regional Language,Zone B,Pending,11,6,Medium,Evening,No,0.24,Folklore Videos,TRUE,User
U0008,Exhibition,11/2/2024,2 hours,Local Dialect,Zone B,Pending,1,7,High,Morning,Yes,0.35,Regional Cuisine Recipes,TRUE,User
U0009,Art Fair,9/2/2024,2 hours,Local Dialect,Zone B,Pending,13,2,High,Afternoon,No,0.9,Traditional Music Playlist,FALSE,User
U0010,Language Class,10/15/2024,30 minutes,Local Dialect,Zone A,Pending,13,6,Medium,Morning,Yes,0.66,Language Learning App,FALSE,Platform
U0011,Exhibition,10/12/2024,1 hour,English,Zone C,Pending,2,9,Medium,Afternoon,No,0.18,Folklore Videos,FALSE,User
U0012,Art Fair,3/18/2025,2 hours,Local Dialect,Zone A,Pending,17,3,High,Morning,Yes,0.34,Regional Cuisine Recipes,TRUE,User
U0013,Workshop,11/27/2024,1 hour,Local Dialect,Zone B,Accepted,19,2,High,Afternoon,No,0.99,Language Learning App,TRUE,Platform
U0014,Language Class,1/15/2024,30 minutes,Regional Language,Zone C,Accepted,15,8,Low,Afternoon,No,0.34,Regional Cuisine Recipes,TRUE,Platform
U0015,Workshop,12/3/2024,1 hour,Local Dialect,Zone D,Pending,19,1,Low,Evening,No,0.62,Traditional Music Playlist,TRUE,User
U0016,Language Class,9/11/2024,2 hours,Local Dialect,Zone A,Pending,10,8,Medium,Morning,No,0.6,Folklore Videos,TRUE,User
U0017,Art Fair,4/1/2024,1 hour,Local Dialect,Zone B,Pending,10,5,Medium,Evening,No,0.46,Language Learning App,TRUE,Platform
U0018,Festival,10/5/2024,1 hour,English,Zone B,Pending,9,9,Medium,Evening,Yes,0.13,Language Learning App,FALSE,Platform
U0019,Language Class,7/24/2024,30 minutes,Regional Language,Zone C,Pending,19,9,High,Morning,No,0.36,Language Learning App,TRUE,User
U0020,Workshop,4/3/2024,30 minutes,Regional Language,Zone A,Accepted,11,4,Medium,Evening,No,0.96,Regional Cuisine Recipes,FALSE,Platform
U0021,Art Fair,8/12/2024,30 minutes,English,Zone D,Pending,6,1,Medium,Afternoon,No,0.12,Folklore Videos,FALSE,User
U0022,Language Class,10/27/2024,30 minutes,English,Zone D,Pending,2,5,Medium,Afternoon,Yes,0.74,Folklore Videos,TRUE,User
U0023,Festival,11/13/2024,1 hour,Regional Language,Zone C,Accepted,10,7,Low,Afternoon,Yes,0.9,Traditional Music Playlist,FALSE,User
U0024,Festival,7/17/2024,1 hour,Local Dialect,Zone C,Pending,15,9,Low,Afternoon,Yes,0.79,Folklore Videos,TRUE,Platform
U0025,Exhibition,9/27/2024,30 minutes,Regional Language,Zone D,Pending,5,10,Medium,Evening,No,0.39,Language Learning App,FALSE,User
U0026,Exhibition,8/21/2024,30 minutes,English,Zone C,Accepted,18,9,High,Morning,Yes,0.57,Regional Cuisine Recipes,TRUE,Platform
U0027,Workshop,2/15/2024,2 hours,Local Dialect,Zone C,Pending,7,9,Low,Evening,No,0.88,Regional Cuisine Recipes,TRUE,Platform
U0028,Language Class,3/4/2024,2 hours,Regional Language,Zone A,Pending,3,6,Medium,Morning,Yes,0.98,Folklore Videos,FALSE,User
U0029,Language Class,8/17/2024,30 minutes,Local Dialect,Zone C,Pending,16,2,Low,Morning,No,0.19,Language Learning App,FALSE,User
U0030,Exhibition,3/5/2025,1 hour,Local Dialect,Zone B,Accepted,17,5,High,Evening,Yes,0.21,Traditional Music Playlist,TRUE,Platform
U0031,Language Class,3/15/2025,30 minutes,English,Zone B,Pending,2,3,High,Evening,Yes,0.96,Folklore Videos,FALSE,User
U0032,Language Class,9/5/2024,1 hour,Regional Language,Zone B,Pending,16,6,High,Afternoon,No,0.89,Regional Cuisine Recipes,FALSE,User
U0033,Festival,9/2/2024,1 hour,English,Zone C,Accepted,20,5,High,Morning,No,0.29,Regional Cuisine Recipes,FALSE,User
U0034,Exhibition,3/3/2025,2 hours,Regional Language,Zone D,Accepted,1,10,Medium,Morning,Yes,0.97,Language Learning App,FALSE,Platform
U0035,Art Fair,3/15/2024,30 minutes,Regional Language,Zone B,Pending,14,1,High,Morning,Yes,0.29,Folklore Videos,FALSE,User
U0036,Exhibition,6/5/2024,30 minutes,Local Dialect,Zone A,Pending,16,10,Medium,Afternoon,No,0.18,Language Learning App,TRUE,User
U0037,Art Fair,8/10/2024,1 hour,Local Dialect,Zone C,Pending,9,10,High,Morning,Yes,0.71,Language Learning App,TRUE,Platform
U0038,Festival,7/8/2024,30 minutes,Local Dialect,Zone D,Pending,17,2,Medium,Morning,Yes,0.59,Folklore Videos,FALSE,User
U0039,Workshop,2/21/2024,2 hours,English,Zone D,Pending,8,5,High,Afternoon,Yes,0.32,Language Learning App,FALSE,Platform
U0040,Language Class,3/13/2025,2 hours,Local Dialect,Zone C,Pending,9,6,Medium,Evening,Yes,0.94,Regional Cuisine Recipes,FALSE,User
U0041,Festival,3/28/2024,30 minutes,English,Zone C,Pending,2,1,Low,Afternoon,No,0.46,Regional Cuisine Recipes,TRUE,Platform
U0042,Language Class,11/8/2024,30 minutes,Local Dialect,Zone A,Accepted,13,7,Medium,Afternoon,Yes,0.46,Folklore Videos,TRUE,Platform
U0043,Workshop,12/4/2024,2 hours,English,Zone C,Accepted,1,3,Medium,Evening,Yes,0.67,Regional Cuisine Recipes,FALSE,User
U0044,Workshop,3/6/2024,30 minutes,Regional Language,Zone C,Pending,7,1,High,Morning,Yes,0.31,Folklore Videos,TRUE,User
